count_of_chunks,corpus,chunk1,chunk2,euclidean_distance_chunk1_and_chunk2,euclidean_corpus_and_chunk1,euclidean_corpus_and_chunk2,euclidean_corpus_and_all_chunks,length_corpus,length_chunk1,length_chunk2,logfreq_corpus,logfreq_chunk1,logfreq_chunk2
2,csináltál,csinál,tál,14.241875648498535,6.794427394866943,17.4652099609375,6.856442928314209,9,6,3,4.257942430573135,4.610223520285089,3.1936810295412816
2,csináltál,csinált,ál,23.215335845947266,6.134263515472412,27.455429077148438,4.181179046630859,9,7,2,4.257942430573135,4.358505911490235,2.622214022966295
2,rajtad,rajt,ad,13.956270217895508,7.685212135314941,13.820036888122559,9.959753036499023,6,4,2,4.2577505514152545,3.1595671932336202,4.265996370495079
2,hacsak,ha,csak,11.673818588256836,22.122249603271484,24.387393951416016,14.213043212890625,6,2,4,4.256837965904041,6.17849550526079,6.20255043253116
2,amiről,a,miről,16.23206329345703,15.443183898925781,9.107884407043457,13.388744354248047,6,1,5,4.254257967223835,7.140228930161251,4.827614786833439
2,seggfej,segg,fej,11.316251754760742,14.133307456970215,14.501856803894043,7.557225227355957,7,4,3,4.252828768040592,3.3005954838899636,3.8232133132826673
2,ölte,öl,te,11.281981468200684,12.55860424041748,16.464698791503906,8.656444549560547,4,2,2,4.252173155771533,3.506910725551518,5.976474700373688
2,hallottad,hallott,ad,14.632902145385742,8.299509048461914,20.37401008605957,8.181955337524414,9,7,2,4.250834579996684,3.9983901303180476,4.265996370495079
2,vette,vet,te,9.827777862548828,9.68126106262207,10.219122886657715,16.142805099487305,5,3,2,4.24995618195868,3.3602146132953523,5.976474700373688
2,maradok,mar,adok,17.394237518310547,20.68217658996582,11.148787498474121,7.4560675621032715,7,3,4,4.249271753073101,3.1245042248342823,4.300508529343292
2,maradok,marad,ok,17.345430374145508,8.565936088562012,22.748550415039062,5.4832353591918945,7,5,2,4.249271753073101,4.537982711445016,4.570554614307831
